index,date,pres,link,exec
110,18500104,ZT,http://www.presidency.ucsb.edu/ws/index.php?pid=68066,
111,18500110,ZT,http://www.presidency.ucsb.edu/ws/index.php?pid=68067,
112,18501101,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68136,
113,18501213,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68140,
114,18510218,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68154,
115,18510425,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68165,
116,18511022,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68166,
117,18530225,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68274,
118,18540118,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67853,
119,18540531,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67855,
120,18550316,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67625,
121,18550702,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67626,
122,18551208,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67738,
123,18551212,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67739,
124,18560211,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67740,
125,18560528,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67743,
126,18560528,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67741,
127,18560528,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67742,
128,18560602,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67744,
129,18560818,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67746,
130,18570216,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67567,
131,18571224,JB,http://www.presidency.ucsb.edu/ws/index.php?pid=68284,
132,18580225,JB,http://www.presidency.ucsb.edu/ws/index.php?pid=68302,
133,18580406,JB,http://www.presidency.ucsb.edu/ws/index.php?pid=68308,
134,18580614,JB,http://www.presidency.ucsb.edu/ws/index.php?pid=68332,
135,18581030,JB,http://www.presidency.ucsb.edu/ws/index.php?pid=68333,
136,18590226,JB,http://www.presidency.ucsb.edu/ws/index.php?pid=68371,
137,18600625,JB,http://www.presidency.ucsb.edu/ws/index.php?pid=68445,
138,18610211,JB,http://www.presidency.ucsb.edu/ws/index.php?pid=68458,
139,18610415,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70077,
140,18610419,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70101,
141,18610427,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70112,
142,18610503,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70123,
143,18610510,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70134,
144,18610812,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69979,
145,18610816,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69990,
146,18620219,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69775,
147,18620410,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69776,
148,18620512,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69777,
149,18620519,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69778,
150,18620701,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69779,
151,18620725,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69781,
152,18620922,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69782,
153,18620924,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69783,
154,18630101,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69880,
155,18630228,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69885,
156,18630310,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69889,
157,18630330,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69891,
158,18630402,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69892,
159,18630416,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69893,
160,18630420,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69894,
161,18630508,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69895,
162,18630615,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69896,
163,18630715,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69897,
164,18630915,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69898,
165,18630924,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69899,
166,18631003,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69900,
167,18631017,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69902,
168,18631208,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69987,
169,18631216,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69988,
170,18640218,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69989,
171,18640326,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69991,
172,18640519,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69992,
173,18640705,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69993,
174,18640707,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69994,
175,18640708,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69995,
176,18640718,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69996,
177,18640818,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69997,
178,18641020,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69998,
179,18641031,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=69999,
180,18641119,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70000,
181,18641219,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70060,
182,18650110,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70061,
183,18650217,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70062,
184,18650311,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70073,
185,18650317,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70074,
186,18650411,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70075,
187,18650411,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70076,
188,18650411,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70079,
189,18650425,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72134,
190,18650429,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72245,
191,18650502,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72356,
192,18650510,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72370,
193,18650522,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72381,
