index,date,pres,link,exec
141,18650404,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70083,
142,18650429,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72057,
143,18650429,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72068,
144,18650501,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72079,
145,18650503,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72090,
146,18650504,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72101,
147,18650506,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72112,
148,18650507,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72123,
149,18650509,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72135,
150,18650509,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72146,
151,18650527,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72157,
152,18650531,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72168,
153,18650602,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72179,
154,18650602,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72190,
155,18650602,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72201,
156,18650606,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72212,
157,18650606,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72223,
158,18650607,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72234,
159,18650609,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72246,
160,18650705,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72257,
161,18650705,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72268,
162,18650715,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72279,
163,18650807,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72290,
164,18650825,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72301,
165,18650907,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72312,
166,18650916,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72323,
