index,date,pres,filename,link,title
2295,19510517,HST,19510517_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=59333,Executive Order 10244—Designating the Secretary of State and the Attorney General as the Officers to Perform Certain Functions with Respect to the Settlement of Intercustodial Conflicts Relating to Enemy Property
2296,19510517,HST,19510517_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78394,Executive Order 10245—Establishing a Commission for the Commemoration of the One Hundred and Seventy-Fifth Anniversary of the Signing of the Declaration of Independence
2297,19510518,HST,19510518_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78397,"Executive Order 10246—Transferring the Use, Possession, and Control of Certain Land from the Department of the Interior to the Tennessee Valley Authority"
2298,19510529,HST,19510529_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78396,"Executive Order 10247—Suspending the Limitations Upon Punishments for Violations of Articles 82, 85, 86(3), 87, 90, 91(1) and (2), 113, and 115 of the Uniform Code of Military Justice"
2299,19510602,HST,19510602_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78398,"Executive Order 10248—Transfer of Certain Lands from the Sacramento, California, Land District to the Los Angeles California, Land District"
2300,19510604,HST,19510604_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78399,Executive Order 10249—Prescribing Regulations with Respect to Foreign Service Reporting Functions
2301,19510605,HST,19510605_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=59334,Executive Order 10250—Providing for the Performance of Certain Functions of the President by the Secretary of the Interior
2302,19510607,HST,19510607_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=60795,Executive Order 10251—Suspension of the Eight-Hour Law as to Laborers and Mechanics Employed by the Department of Defense on Public Work Essential to the National Defense
2303,19510609,HST,19510609_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=60796,Executive Order 10252—Attaching the Canal Zone to the Internal Revenue Collection District of Florida
2304,19510611,HST,19510611_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=59335,Executive Order 10253—Providing for the Improvement of the Work of Federal Executive Agencies with Respect to Statistical Information
2305,19510615,HST,19510615_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78401,Executive Order 10254—Terminating the Philippine Alien Property Administration and Transferring Its Functions to the Department of Justice
2306,19510622,HST,19510622_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78404,Executive Order 10255—Further Exemption of Claude L. Draper from Compulsory Retirement for Age
2307,19510623,HST,19510623_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78403,"Executive Order 10256—Amendment of Paragraph 126e of the Manual for Courts-Martial, United States, 1951"
2308,19510623,HST,19510623_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78402,"Executive Order 10257—Amendment of Executive Order 7397 of June 20, 1936, as Amended, Establishing the Federal Fire Council"
2309,19510626,HST,19510626_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=60797,Executive Order 10258—Amending the Selective Service Regulations
2310,19510627,HST,19510627_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78406,Executive Order 10259—Delegating to the Secretary of State the Authority Vested in the President by Title V of the Foreign Economic Assistance Act of 1950 Relating to International Children's Welfare Work
2311,19510627,HST,19510627_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78405,Executive Order 10260—Designating Certain Agencies Pursuant to Section 103 (a) of the Renenogiation Act of 1951
2312,19510627,HST,19510627_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78407,"Executive Order 10261—Amendment of Executive Order No. 10000 of September 16, 1948, Prescribing Regulations Governing Additional Compensation and Credit Granted Certain Employess of the Federal Government Serving Outside the United States"
2313,19510628,HST,19510628_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78408,"Executive Order 10262—Suspension of Professional Examinations for Promotion of Medical, Dental, and Veterinary Offices in the Regular Army and Air Force"
2314,19510629,HST,19510629_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=59336,"Executive Order 10263—Transfer of the Panama Canal (The Waterway), Together with Facilities and Appurtenances Related Thereto, and Other Facilities and Appurtenances Maintained and Operated by the Panama Canal (the Agency), to the Panama Railroad Company"
2315,19510629,HST,19510629_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=59337,Executive Order 10264—Transfer of the Administration of American Samoa from the Secretary of the Navy to the Secretary of the Interior
2316,19510629,HST,19510629_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=60798,Executive Order 10265—Transfer of the Administration of the Trust Territory of the Pacific Islands from the Secretary of the Navy to the Secretary of the Interior
2317,19510630,HST,19510630_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78409,"Executive Order 10266—Suspension of Certain Provisions of the Officer Personnel Act of 1947, as Amended, Which Relate to Officers of the Navy and Marine Corps"
2318,19510703,HST,19510703_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78412,Executive Order 10267—Declaring Certain Lands in the Nantahala National Forest
2319,19510705,HST,19510705_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78411,Executive Order 10268—Restoring Certain Lands Comprisings Portions of the Fort Ruger Miltary Reservation to the Jurisdiction of the Territory of Hawaii
2320,19510706,HST,19510706_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78415,"Executive Order 10269—Delegating to the Director of Defense Mobilization the Authority of the President to Determine, with Respect to the Need for School Facilities, Areas Which Are Critical by Reason of National-Defense Activities"
2321,19510706,HST,19510706_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78413,Executive Order 10270—Extension of Enlistments in the Armed Forces of the United States
2322,19510707,HST,19510707_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=59338,Executive Order 10271—Delegating the Authority of the President to Order Members and Units of Reserve Components of the Armed Forces Into Active Federal Service
2323,19510710,HST,19510710_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78417,"Executive Order 10272—Delegating to the Secretary of the Army the Authority of the President to Prescribe Rules, Regulations, and Restrictions with Respect to the Army and Navy Hospital At Hot Springs, Arkansas"
2324,19510718,HST,19510718_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78416,Executive Order 10273—Exemption of Herbert E. Gaston from Compulsory Retirement for Age
2325,19510718,HST,19510718_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=106485,"Executive Order 10274—Further Amendment of Executive Order No. 9805, Prescribing Regulations Governing Payment of Certain Travel and Transportation Expenses"
2326,19510725,HST,19510725_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=60799,"Executive Order 10275—Inspection of Income, Excess-Profits, Declared Value Excess-Profits, Capital Stock, Estate, and Gift Tax Returns by the Senate Committee on Expenditures in the Executive Departments"
2327,19510731,HST,19510731_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78410,"Executive Order 10276—Administration of the Housing and Rent Act of 1947, as Amended, and Termination of the Office of the Housing Expediter"
2328,19510801,HST,19510801_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=60800,"Executive Order 10277—Amending Regulations Relating to the Safeguarding of Vessels, Harbors, Ports, and Waterfront Facilities of the United States"
2329,19510809,HST,19510809_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78419,"Executive Order 10278—Withdrawing from Appropriation the Phosphate Reserved to the United States in Certain Patented Lands and Transferring the Use, Possession, and Control Therefor to the Tennessee Valley Authority"
2330,19510816,HST,19510816_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78418,"Executive Order 10279—Inspection of Income, Excess-Profits, Declared Value Excess-Profits, Capital Stock, Estate, and Gift Tax Returns for Any Period to and Including 1950 by the Senate Special Committee to Investigate Organized Crime in Interstate Commerce"
2331,19510816,HST,19510816_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78423,Executive Order 10280—Separation of Officers of the Public Health Service on Grounds of Disloyalty
2332,19510828,HST,19510828_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78578,Executive Order 10281—Defense Materials Procurement and Supply
2333,19510829,HST,19510829_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=106486,Executive Order 10282—Suspension of the Eight-Hour Law as to Laborers and Mechanics Employed by the Department of the Interior on Public Work Essential to the National Defense
2334,19510830,HST,19510830_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=106487,Executive Order 10283—Creating a Board of Inquiry To Report on Certain Labor Disputes Affecting the Copper and Non-Ferrous Metals Industry
2335,19510901,HST,19510901_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=106488,Executive Order 10284—Extension of Time Relating to the Disposition of Certain Housing
2336,19510906,HST,19510906_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78420,"Executive Order 10285—Creating an Emergency Board to Investigate a Dispute Between the Denver & Rio Grande Western Railroad Company, Including the Denver & Salt Lake Railroad Company, Operated by the Secrrtary of the Army, and Certain Workers"
2337,19510906,HST,19510906_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78421,Executive Order 10286—Creating an Emergency Board to Investigate a Dispute Between the Pullman Company and Certain of Its Employees
2338,19510906,HST,19510906_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78424,"Executive Order 10287—Revoking Executive Order No. 8304 of January 14, 1939 and Abolishing the Federal Real Estate Board"
2339,19510907,HST,19510907_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78425,"Executive Order 10288—Further Amending Executive Order No. 10157 of August 28, 1950, Enabling Certain Employees of the Federal Government to Acquire a Competitive Status"
2340,19510917,HST,19510917_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=59339,Executive Order 10289—Providing for the Performance of Certain Functions of the President by the Secretary of the Treasury
2341,19510924,HST,19510924_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78426,"Executive Order 10290—Prescribing Regulations Establishing Minimum Standards for the Classification, Transmission, and Handling, by Departments and Agencies of the Executive Branch, of Official Information Which Requires Safeguarding in the Interest of the Security of the United States"
2342,19510925,HST,19510925_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78427,Executive Order 10291—Establishing an Airspace Reservation Over the Savannah River Plant of the United States Atomic Energy Commission
